PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
40575122,⁠Advancing ethical AI in healthcare through interpretability,"Ning Y, Liu M, Liu N.",Patterns (N Y). 2025 Jun 13;6(6):101290. doi: 10.1016/j.patter.2025.101290. eCollection 2025 Jun 13.,Ning Y,Patterns (N Y),2025,2025/06/27,PMC12191714,,10.1016/j.patter.2025.101290
40099367,Integrating Social Determinants of Health and Established Risk Factors to Predict Cardiovascular Disease Risk Among Healthy Older Adults,"Teshale AB, Htun HL, Vered M, Owen AJ, Ryan J, Polkinghorne KR, Kilkenny MF, Tonkin A, Freak-Poli R.",J Am Geriatr Soc. 2025 Jun;73(6):1797-1807. doi: 10.1111/jgs.19440. Epub 2025 Mar 18.,Teshale AB,J Am Geriatr Soc,2025,2025/03/18,PMC12205292,,10.1111/jgs.19440
40634428,Machine learning models for predicting multimorbidity trajectories in middle-aged and elderly adults,"Yao L, Li Q, Zhou Z, Yin J, Wang T, Liu Y, Li Q, Xiao L, Yang D.",Sci Rep. 2025 Jul 9;15(1):24711. doi: 10.1038/s41598-025-07060-z.,Yao L,Sci Rep,2025,2025/07/09,PMC12241554,,10.1038/s41598-025-07060-z
40289835,Machine Learning for Predicting Waitlist Mortality in Pediatric Heart Transplantation,"Haregu F, Dixon RJ, McCulloch M, Porter M.",Pediatr Transplant. 2025 Jun;29(4):e70095. doi: 10.1111/petr.70095.,Haregu F,Pediatr Transplant,2025,2025/04/28,PMC12035663,,10.1111/petr.70095
40702538,Development and validation of a dynamic early warning system with time-varying machine learning models for predicting hemodynamic instability in critical care: a multicohort study,"Chiang DH, Jiang Z, Tian C, Wang CY.",Crit Care. 2025 Jul 23;29(1):318. doi: 10.1186/s13054-025-05553-x.,Chiang DH,Crit Care,2025,2025/07/23,PMC12285179,,10.1186/s13054-025-05553-x
40723863,Growth Differentiation Factor 15 Predicts Cardiovascular Events in Peripheral Artery Disease,"Li B, Shaikh F, Younes H, Abuhalimeh B, Zamzam A, Abdin R, Qadura M.",Biomolecules. 2025 Jul 11;15(7):991. doi: 10.3390/biom15070991.,Li B,Biomolecules,2025,2025/07/29,PMC12293086,,10.3390/biom15070991
40770652,A prediction model for 'ICU mortality or prolonged ICU stay' in critically unwell patients with acute pancreatitis: insights from a 2003-2020 cohort analysis using the ANZICS-CORE database,"Venkatesh K, Schlub TE, Barreto SG, Andersen CR, Davenport MP, Delaney A, Kaambwa B, Bihari S, Pilcher D, Sasson SC; P-ANZICS Collaborative.",Crit Care. 2025 Aug 6;29(1):347. doi: 10.1186/s13054-025-05590-6.,Venkatesh K,Crit Care,2025,2025/08/07,PMC12326670,,10.1186/s13054-025-05590-6
39358556,Ethical guidance for reporting and evaluating claims of AI outperforming human doctors,"Drogt J, Milota M, van den Brink A, Jongsma K.",NPJ Digit Med. 2024 Oct 2;7(1):271. doi: 10.1038/s41746-024-01255-w.,Drogt J,NPJ Digit Med,2024,2024/10/02,PMC11447248,,10.1038/s41746-024-01255-w
39030064,Risk estimation for the primary prevention of cardiovascular disease: considerations for appropriate risk prediction model selection,"van Daalen KR, Zhang D, Kaptoge S, Paige E, Di Angelantonio E, Pennells L.",Lancet Glob Health. 2024 Aug;12(8):e1343-e1358. doi: 10.1016/S2214-109X(24)00210-9.,van Daalen KR,Lancet Glob Health,2024,2024/07/19,PMC11283887,,10.1016/S2214-109X(24)00210-9
39236270,Common Critiques and Recommendations for Studies in Neurology Using Machine Learning Methods,"Speiser JL, Kerr WT, Ziegler A.",Neurology. 2024 Oct 8;103(7):e209861. doi: 10.1212/WNL.0000000000209861. Epub 2024 Sep 5.,Speiser JL,Neurology,2024,2024/09/05,PMC11379123,,10.1212/WNL.0000000000209861
39568742,Construction of a disease risk prediction model for postherpetic pruritus by machine learning,"Lin Z, Dou Y, Ju RY, Lin P, Cao Y.",Front Med (Lausanne). 2024 Nov 6;11:1454057. doi: 10.3389/fmed.2024.1454057. eCollection 2024.,Lin Z,Front Med (Lausanne),2024,2024/11/21,PMC11576279,,10.3389/fmed.2024.1454057
39719078,Predicting apheresis yield and factors affecting peripheral blood stem cell harvesting using a machine learning model,"Qi J, Chen Y, Jin X, Wang R, Wang N, Yan J, Huang C, Huang J, Wei Y, Xie F, Yu Z, Huang D.",J Int Med Res. 2024 Dec;52(12):3000605241305360. doi: 10.1177/03000605241305360.,Qi J,J Int Med Res,2024,2024/12/24,PMC11683808,,10.1177/03000605241305360
38912595,Reporting checklists as compulsory supplements to artificial intelligence manuscript submissions,Klontzas ME.,Diagn Interv Radiol. 2025 Jan 1;31(1):17-18. doi: 10.4274/dir.2024.242849. Epub 2024 Jun 24.,Klontzas ME,Diagn Interv Radiol,2025,2024/06/24,PMC11701695,,10.4274/dir.2024.242849
39834976,Prediction of Preeclampsia Using Machine Learning: A Systematic Review,"Malik V, Agrawal N, Prasad S, Talwar S, Khatuja R, Jain S, Sehgal NP, Malik N, Khatuja J, Madan N.",Cureus. 2024 Dec 20;16(12):e76095. doi: 10.7759/cureus.76095. eCollection 2024 Dec.,Malik V,Cureus,2024,2025/01/21,PMC11743919,,10.7759/cureus.76095
39944151,Development of a predictive model for severe peripartum hemorrhage in placenta accreta spectrum cases under neuraxial anesthesia: a multicenter retrospective analysis,"Li Y, Li L, Song X, Meng F, Zhang M, Li Y, Chu R.",Ther Adv Reprod Health. 2025 Feb 12;19:26334941251317644. doi: 10.1177/26334941251317644. eCollection 2025 Jan-Dec.,Li Y,Ther Adv Reprod Health,2025,2025/02/13,PMC11815799,,10.1177/26334941251317644
39284602,Clinical evaluation of a machine learning-based early warning system for patient deterioration,"Verma AA, Stukel TA, Colacci M, Bell S, Ailon J, Friedrich JO, Murray J, Kuzulugil S, Yang Z, Lee Y, Pou-Prom C, Mamdani M.",CMAJ. 2024 Sep 15;196(30):E1027-E1037. doi: 10.1503/cmaj.240132.,Verma AA,CMAJ,2024,2024/09/16,PMC11412734,,10.1503/cmaj.240132
40241852,Development and Validation of an Algorithm for Segmentation of the Prostate and its Zones from Three-dimensional Transrectal Multiparametric Ultrasound Images,"van den Kroonenberg DL, Delberghe FT, Jager A, Postema AW, Beerlage HP, Zwart W, Mischi M, Oddens JR.",Eur Urol Open Sci. 2025 Apr 6;75:48-54. doi: 10.1016/j.euros.2025.03.005. eCollection 2025 May.,van den Kroonenberg DL,Eur Urol Open Sci,2025,2025/04/17,PMC12002784,,10.1016/j.euros.2025.03.005
39257289,Development of Machine Learning Models for Predicting the 1-Year Risk of Reoperation After Lower Limb Oncological Resection and Endoprosthetic Reconstruction Based on Data From the PARITY Trial,"Deng J, Moskalyk M, Shammas-Toma M, Aoude A, Ghert M, Bhatnagar S, Bozzo A.",J Surg Oncol. 2024 Dec;130(8):1706-1716. doi: 10.1002/jso.27854. Epub 2024 Sep 11.,Deng J,J Surg Oncol,2024,2024/09/11,PMC11849712,,10.1002/jso.27854
39921555,Nomogram Prediction of Response to Neoadjuvant Chemotherapy Plus Pembrolizumab in Locally Advanced Hypopharyngeal Squamous Cell Carcinoma,"Hu Z, Chen Y, Ma R, Sun W, Chen L, Cai Z, Wen W, Lei W.",J Otolaryngol Head Neck Surg. 2025 Jan-Dec;54:19160216251318255. doi: 10.1177/19160216251318255.,Hu Z,J Otolaryngol Head Neck Surg,2025,2025/02/08,PMC11807280,,10.1177/19160216251318255
39962403,Research on the development of an intelligent prediction model for blood pressure variability during hemodialysis,"Ren Z, Zhang M, Wang P, Chen K, Wang J, Wu L, Hong Y, Qu Y, Luo Q, Cai K.",BMC Nephrol. 2025 Feb 17;26(1):82. doi: 10.1186/s12882-025-03959-x.,Ren Z,BMC Nephrol,2025,2025/02/18,PMC11834630,,10.1186/s12882-025-03959-x
40080075,Imputation and Missing Indicators for Handling Missing Longitudinal Data: Data Simulation Analysis Based on Electronic Health Record Data,"Ehrig M, Bullock GS, Leng XI, Pajewski NM, Speiser JL.",JMIR Med Inform. 2025 Mar 13;13:e64354. doi: 10.2196/64354.,Ehrig M,JMIR Med Inform,2025,2025/03/13,PMC11924964,,10.2196/64354
39462894,The power of artificial intelligence for managing pandemics: A primer for public health professionals,"McKee M, Rosenbacke R, Stuckler D.",Int J Health Plann Manage. 2025 Jan;40(1):257-270. doi: 10.1002/hpm.3864. Epub 2024 Oct 27.,McKee M,Int J Health Plann Manage,2025,2024/10/28,PMC11704850,,10.1002/hpm.3864
40395416,Identifying heart failure dynamics using multi-point electrocardiograms and deep learning,"Nishihara Y, Nishimori M, Shibata S, Shinohara M, Hirata KI, Tanaka H.",Eur Heart J Digit Health. 2025 Mar 10;6(3):447-455. doi: 10.1093/ehjdh/ztaf016. eCollection 2025 May.,Nishihara Y,Eur Heart J Digit Health,2025,2025/05/21,PMC12088712,,10.1093/ehjdh/ztaf016
40453809,Developing a transparent reporting tool for AI-based diagnostic prediction models of disease and syndrome in Chinese medicine: a Delphi protocol,"Li J, Seetoh WS, Lim J, Xiao X, Yang K, Yeo SY, Sun B, Liu J, Xu Z, Zhong LLD.",Front Digit Health. 2025 May 16;7:1575320. doi: 10.3389/fdgth.2025.1575320. eCollection 2025.,Li J,Front Digit Health,2025,2025/06/02,PMC12122445,,10.3389/fdgth.2025.1575320
40475117,Challenges and Future Perspectives for Artificial Intelligence in Hepatology: Breaking Barriers for Better Care,"Kusztos VE, Simonetto DA.",J Clin Exp Hepatol. 2025 Sep-Oct;15(5):102579. doi: 10.1016/j.jceh.2025.102579. Epub 2025 Apr 14.,Kusztos VE,J Clin Exp Hepatol,2025,2025/06/06,PMC12136794,,10.1016/j.jceh.2025.102579
39819973,In Silico Evaluation of Algorithm-Based Clinical Decision Support Systems: Protocol for a Scoping Review,"Dorosan M, Chen YL, Zhuang Q, Lam SWS.",JMIR Res Protoc. 2025 Jan 16;14:e63875. doi: 10.2196/63875.,Dorosan M,JMIR Res Protoc,2025,2025/01/17,PMC11783031,,10.2196/63875
40447991,Development with external validation of a prediction model for postoperative acute kidney injury following noncardiac surgery in elderly patients,"Zhang X, Ruan X, Yu Y, Sun T, Zhang J, Cong X, Lou J, Li H, Cao J, Liu Y, Mi W.",BMC Geriatr. 2025 May 30;25(1):390. doi: 10.1186/s12877-025-06023-3.,Zhang X,BMC Geriatr,2025,2025/05/30,PMC12124045,,10.1186/s12877-025-06023-3
39677480,A foundation model for generalized brain MRI analysis,"Tak D, Garomsa BA, Chaunzwa TL, Zapaishchykova A, Climent Pardo JC, Ye Z, Zielke J, Ravipati Y, Vajapeyam S, Mahootiha M, Smith C, Familiar AM, Liu KX, Prabhu S, Bandopadhayay P, Nabavizadeh A, Mueller S, Aerts HJ, Huang RY, Poussaint TY, Kann BH.",medRxiv [Preprint]. 2024 Dec 3:2024.12.02.24317992. doi: 10.1101/2024.12.02.24317992.,Tak D,medRxiv,2024,2024/12/16,PMC11643205,,10.1101/2024.12.02.24317992
